player_1,player_2
0,0
1,0
2,0
2,1
2,2
2,3
3,3
4,3
5,3
6,3
7,3
7,4
7,5
8,5
9,5
10,5
11,5
11,6
11,7
12,7
12,8
13,8
14,8
15,8
16,8
17,8
17,9
17,10
18,10
19,10
19,11
20,11
21,11
